Subject,Category,Correct,,,
1,a,8,,,
1,b,6,,,
1,c,7,,,
1,d,8,,,
1,e,7,,,
2,a,10,,,
2,b,9,,,
2,c,10,,,
2,d,10,,,
2,e,9,,,
3,a,7,,,
3,b,8,,,
3,c,7,,,
3,d,7,,,
3,e,6,,,
4,a,6,,,
4,b,7,,,
4,c,6,,,
4,d,8,,,
4,e,5,,,
5,a,10,,,
5,b,10,,,
5,c,9,,,
5,d,10,,,
5,e,9,,,
6,a,5,,,
6,b,6,,,
6,c,6,,,
6,d,6,,,
6,e,5,,,
7,a,8,,,
7,b,7,,,
7,c,10,,,
7,d,8,,,
7,e,8,,,
8,a,7,,,
8,b,7,,,
8,c,7,,,
8,d,7,,,
8,e,6,,,
9,a,10,,,
9,b,9,,,
9,c,10,,,
9,d,10,,,
9,e,10,,,
10,a,6,,,
10,b,5,,,
10,c,6,,,
10,d,5,,,
10,e,4,,,
11,a,10,,,
11,b,10,,,
11,c,9,,,
11,d,10,,,
11,e,10,,,
12,a,5,,,
12,b,4,,,
12,c,6,,,
12,d,5,,,
12,e,5,,,
13,a,7,,,
13,b,6,,,
13,c,6,,,
13,d,8,,,
13,e,6,,,
14,a,8,,,
14,b,8,,,
14,c,8,,,
14,d,10,,,
14,e,8,,,
15,a,10,,,
15,b,9,,,
15,c,10,,,
15,d,10,,,
15,e,9,,,
16,a,6,,,
16,b,5,,,
16,c,5,,,
16,d,6,,,
16,e,5,,,
17,a,10,,,
17,b,9,,,
17,c,9,,,
17,d,10,,,
17,e,10,,,
18,a,7,,,
18,b,7,,,
18,c,8,,,
18,d,7,,,
18,e,7,,,
19,a,8,,,
19,b,8,,,
19,c,10,,,
19,d,10,,,
19,e,8,,,
20,a,6,,,
20,b,7,,,
20,c,6,,,
20,d,6,,,
20,e,7,,,
21,a,10,,,
21,b,10,,,
21,c,10,,,
21,d,10,,,
21,e,10,,,
22,a,8,,,
22,b,7,,,
22,c,8,,,
22,d,7,,,
22,e,8,,,
23,a,6,,,
23,b,7,,,
23,c,7,,,
23,d,6,,,
23,e,6,,,
24,a,10,,,
24,b,9,,,
24,c,10,,,
24,d,9,,,
24,e,10,,,
25,a,7,,,
25,b,6,,,
25,c,8,,,
25,d,7,,,
25,e,7,,,
